order_id,customer_id,order_purchase_date,order_status,delivery_days,order_delivered_date,delivery_days_clean,signup_date,state,acquisition_channel,customer_segment,age,item_count,product_revenue,freight_value,primary_category,payment_type,payment_installments,payment_value,review_score,order_month,low_review
O000001,C00542,2024-11-13,processing,11,,,2024-01-24,GA,Organic,New,28.0,3,74.11,56.63,Beauty,voucher,3,130.74,4,2024-11,0
O000002,C00631,2024-06-03,processing,7,,,2024-11-05,CA,Social,New,32.0,3,158.76999999999998,47.09,Fashion,paypal,5,205.86,3,2024-06,0
O000003,C00688,2024-08-14,delivered,7,2024-08-21,7.0,2024-09-06,CA,Social,VIP,36.0,3,91.80000000000001,52.870000000000005,Beauty,credit_card,6,144.67,3,2024-08,0
O000004,C00791,2024-10-22,delivered,5,2024-10-27,5.0,2024-02-10,AZ,Social,New,36.0,2,58.230000000000004,35.269999999999996,Beauty,credit_card,4,93.5,5,2024-10,0
O000005,C01199,2025-02-03,delivered,7,2025-02-10,7.0,2024-12-03,FL,Email,New,46.0,2,69.82,26.009999999999998,Home,paypal,3,95.83,4,2025-02,0
O000006,C00912,2024-07-09,delivered,3,2024-07-12,3.0,2024-03-18,CA,Organic,New,32.0,2,103.17,28.48,Grocery,credit_card,1,131.65,1,2024-07,1
O000007,C00032,2024-08-26,delivered,2,2024-08-28,2.0,2024-04-05,NC,Email,New,30.0,3,100.62,37.99,Books,credit_card,3,138.61,5,2024-08,0
O000008,C00107,2024-04-01,delivered,8,2024-04-09,8.0,2024-11-23,GA,Paid Search,New,36.0,2,105.41999999999999,23.85,Fashion,credit_card,4,129.27,3,2024-04,0
O000009,C00001,2024-08-28,canceled,7,,,2024-02-07,FL,Referral,Returning,32.0,3,134.95,30.39,Sports,voucher,1,0.0,2,2024-08,1
O000010,C00475,2024-11-28,delivered,10,2024-12-08,10.0,2024-09-23,NC,Social,New,31.0,1,59.38,11.06,Grocery,credit_card,3,70.44,1,2024-11,1
O000011,C00421,2024-12-15,delivered,9,2024-12-24,9.0,2025-01-24,AZ,Paid Search,Returning,46.0,1,31.87,21.53,Electronics,credit_card,2,53.4,5,2024-12,0
O000012,C01121,2024-07-16,delivered,8,2024-07-24,8.0,2024-01-06,TX,Email,VIP,46.0,1,28.7,15.15,Fashion,debit_card,6,43.85,3,2024-07,0
O000013,C00440,2024-03-29,delivered,5,2024-04-03,5.0,2024-06-15,TX,Paid Search,Returning,26.0,2,71.57,30.34,Beauty,voucher,3,101.91,5,2024-03,0
O000014,C00037,2024-11-27,delivered,10,2024-12-07,10.0,2024-12-26,IL,Organic,Returning,35.0,1,35.93,6.89,Home,credit_card,3,42.82,3,2024-11,0
O000015,C01061,2025-01-03,delivered,5,2025-01-08,5.0,2024-11-19,TX,Paid Search,VIP,27.0,2,29.17,27.619999999999997,Beauty,credit_card,6,56.79,4,2025-01,0
O000016,C00313,2024-04-10,processing,6,,,2024-02-19,AZ,Organic,New,48.0,3,88.52,50.120000000000005,Books,credit_card,3,138.64,4,2024-04,0
O000017,C01096,2024-10-24,delivered,3,2024-10-27,3.0,2024-02-03,FL,Organic,New,34.0,2,123.57,39.08,Books,paypal,3,162.65,4,2024-10,0
O000018,C00930,2024-04-14,delivered,6,2024-04-20,6.0,2024-08-30,CA,Email,Returning,35.0,1,13.3,11.87,Grocery,credit_card,3,25.17,4,2024-04,0
O000019,C01057,2024-09-29,delivered,4,2024-10-03,4.0,2024-07-07,CA,Referral,New,35.0,1,37.72,13.31,Books,credit_card,4,51.03,1,2024-09,1
O000020,C00984,2024-12-27,delivered,3,2024-12-30,3.0,2024-09-29,CA,Paid Search,New,29.0,3,118.38,43.22,Beauty,credit_card,4,161.6,5,2024-12,0
O000021,C00172,2025-02-02,delivered,5,2025-02-07,5.0,2024-02-07,WA,Email,Returning,32.0,2,45.05,29.24,Books,credit_card,3,74.29,4,2025-02,0
O000022,C00752,2025-01-30,canceled,4,,,2024-03-03,NC,Paid Search,New,48.0,2,91.43,31.54,Beauty,credit_card,5,0.0,1,2025-01,1
O000023,C00495,2025-02-20,delivered,5,2025-02-25,5.0,2024-05-01,WA,Organic,New,48.0,1,42.84,9.2,Grocery,credit_card,1,52.04,5,2025-02,0
O000024,C00755,2024-06-22,delivered,5,2024-06-27,5.0,2024-08-21,NC,Organic,New,31.0,2,62.269999999999996,37.53,Beauty,credit_card,6,99.8,4,2024-06,0
O000025,C00896,2025-04-02,delivered,4,2025-04-06,4.0,2024-09-13,WA,Organic,Returning,36.0,2,90.76,25.2,Home,voucher,1,115.96,3,2025-04,0
O000026,C00602,2024-08-12,delivered,3,2024-08-15,3.0,2024-11-23,FL,Social,New,42.0,2,180.64,30.03,Electronics,credit_card,4,210.67,4,2024-08,0
O000027,C00376,2024-08-24,delivered,6,2024-08-30,6.0,2024-02-09,WA,Paid Search,New,40.0,2,48.05,28.169999999999998,Books,credit_card,1,76.22,1,2024-08,1
O000028,C01100,2025-03-06,delivered,4,2025-03-10,4.0,2024-07-01,GA,Paid Search,Returning,24.0,1,15.24,13.87,Home,voucher,1,29.11,5,2025-03,0
O000029,C00796,2024-08-01,delivered,7,2024-08-08,7.0,2024-05-04,TX,Email,Returning,32.0,3,118.97,40.3,Grocery,credit_card,4,159.27,5,2024-08,0
O000030,C01063,2024-04-05,delivered,6,2024-04-11,6.0,2024-03-01,GA,Organic,New,18.0,3,89.0,31.589999999999996,Beauty,credit_card,3,120.59,4,2024-04,0
O000031,C00285,2025-01-30,delivered,2,2025-02-01,2.0,2024-07-04,CA,Referral,New,20.0,1,34.09,8.58,Books,credit_card,4,42.67,2,2025-01,1
